LOCALIDAD_N;LOCALIDAD;RUTA_N;RUTA;CODIGO_SIRBE
ANTONIO NARIÑO;29;15;1;9797
ANTONIO NARIÑO;29;15;1;9798
ANTONIO NARIÑO;29;15;1;9799
ANTONIO NARIÑO;29;15;1;9800
ANTONIO NARIÑO;29;15;1;9801
ANTONIO NARIÑO;29;22;2;9802
ANTONIO NARIÑO;29;22;2;9803
ANTONIO NARIÑO;29;PESCADO;3;9804
BARRIOS UNIDOS;7;16;4;9805
BARRIOS UNIDOS;7;16;4;9806
BARRIOS UNIDOS;7;16;4;9807
BARRIOS UNIDOS;7;16;4;9808
BARRIOS UNIDOS;7;16;4;9809
BARRIOS UNIDOS;7;16;4;9810
BARRIOS UNIDOS;7;16;4;9811
BARRIOS UNIDOS;7;16;4;9812
BARRIOS UNIDOS;7;16;4;9813
BOSA;8;2;5;9814
BOSA;8;2;5;9815
BOSA;8;2;5;9816
BOSA;8;2;5;9817
BOSA;8;2;5;9818
BOSA;8;2;5;9819
BOSA;8;2;5;9820
BOSA;8;2;5;9821
BOSA;8;2;5;9822
BOSA;8;2;5;9823
BOSA;8;2;5;9824
BOSA;8;2;5;9825
BOSA;8;2;5;9826
BOSA;8;2;5;9827
BOSA;8;3;6;9828
BOSA;8;3;6;9829
BOSA;8;3;6;9830
BOSA;8;3;6;9831
BOSA;8;3;6;9832
BOSA;8;3;6;9833
BOSA;8;3;6;9834
BOSA;8;3;6;9835
BOSA;8;3;6;9836
BOSA;8;3;6;9837
BOSA;8;3;6;9838
BOSA;8;3;6;9839
BOSA;8;3;6;9840
BOSA;8;3;6;9841
BOSA;8;3;6;9842
BOSA;8;4;7;9843
BOSA;8;4;7;9844
BOSA;8;4;7;9845
BOSA;8;4;7;9846
BOSA;8;4;7;9847
BOSA;8;4;7;9848
BOSA;8;4;7;9849
BOSA;8;4;7;9850
BOSA;8;4;7;9851
BOSA;8;2988;8;9852
BOSA;8;PESCADO;3;9853
BOSA;8;PESCADO;3;9854
BOSA;8;PESCADO;3;9855
CANDELARIA;9;17;9;9856
CANDELARIA;9;17;9;9857
CANDELARIA;9;2988;8;9858
CHAPINERO;10;16;4;9859
CHAPINERO;10;16;4;9860
CHAPINERO;10;16;4;9861
CHAPINERO;10;16;4;9862
CHAPINERO;10;16;4;9863
CHAPINERO;10;16;4;9864
CHAPINERO;10;16;4;9865
CIUDAD BOLIVAR;11;6;10;9866
CIUDAD BOLIVAR;11;6;10;9867
CIUDAD BOLIVAR;11;6;10;9868
CIUDAD BOLIVAR;11;6;10;9869
CIUDAD BOLIVAR;11;6;10;9870
CIUDAD BOLIVAR;11;6;10;9871
CIUDAD BOLIVAR;11;6;10;9872
CIUDAD BOLIVAR;11;6;10;9873
CIUDAD BOLIVAR;11;6;10;9874
CIUDAD BOLIVAR;11;6;10;9875
CIUDAD BOLIVAR;11;6;10;9876
CIUDAD BOLIVAR;11;6;10;9877
CIUDAD BOLIVAR;11;6;10;9878
CIUDAD BOLIVAR;11;7;11;9879
CIUDAD BOLIVAR;11;7;11;9880
CIUDAD BOLIVAR;11;7;11;9881
CIUDAD BOLIVAR;11;7;11;9882
CIUDAD BOLIVAR;11;7;11;9883
CIUDAD BOLIVAR;11;7;11;9884
CIUDAD BOLIVAR;11;7;11;9885
CIUDAD BOLIVAR;11;7;11;9886
CIUDAD BOLIVAR;11;7;11;9887
CIUDAD BOLIVAR;11;7;11;9888
CIUDAD BOLIVAR;11;7;11;9889
CIUDAD BOLIVAR;11;7;11;9890
CIUDAD BOLIVAR;11;7;11;9891
CIUDAD BOLIVAR;11;7;11;9892
CIUDAD BOLIVAR;11;7;11;9893
CIUDAD BOLIVAR;11;8;12;9894
CIUDAD BOLIVAR;11;8;12;9895
CIUDAD BOLIVAR;11;8;12;9896
CIUDAD BOLIVAR;11;8;12;9897
CIUDAD BOLIVAR;11;8;12;9898
CIUDAD BOLIVAR;11;8;12;9899
CIUDAD BOLIVAR;11;8;12;9900
CIUDAD BOLIVAR;11;8;12;9901
CIUDAD BOLIVAR;11;8;12;9902
CIUDAD BOLIVAR;11;8;12;9903
CIUDAD BOLIVAR;11;8;12;9904
CIUDAD BOLIVAR;11;8;12;9905
CIUDAD BOLIVAR;11;8;12;9906
CIUDAD BOLIVAR;11;8;12;9907
CIUDAD BOLIVAR;11;8;12;9908
CIUDAD BOLIVAR;11;8;12;9909
CIUDAD BOLIVAR;11;8;12;9910
CIUDAD BOLIVAR;11;8;12;9911
CIUDAD BOLIVAR;11;8;12;9912
CIUDAD BOLIVAR;11;2988;8;9913
CIUDAD BOLIVAR;11;2988;8;9914
CIUDAD BOLIVAR;11;PESCADO;3;9915
CIUDAD BOLIVAR;11;PESCADO;3;9916
CIUDAD BOLIVAR;11;PESCADO;3;9917
CIUDAD BOLIVAR;11;PESCADO;3;9918
CIUDAD BOLIVAR;11;PESCADO;3;9919
CIUDAD BOLIVAR ;12;6;10;9920
CIUDAD BOLIVAR ;12;7;11;9921
ENGATIVA;13;18;13;9922
ENGATIVA;13;18;13;9923
ENGATIVA;13;18;13;9924
ENGATIVA;13;18;13;9925
ENGATIVA;13;18;13;9926
ENGATIVA;13;18;13;9927
ENGATIVA;13;18;13;9928
ENGATIVA;13;18;13;9929
ENGATIVA;13;18;13;9930
ENGATIVA;13;19;14;9931
ENGATIVA;13;19;14;9932
ENGATIVA;13;19;14;9933
ENGATIVA;13;19;14;9934
ENGATIVA;13;19;14;9935
ENGATIVA;13;19;14;9936
ENGATIVA;13;19;14;9937
ENGATIVA;13;19;14;9938
ENGATIVA;13;19;14;9939
ENGATIVA;13;19;14;9940
ENGATIVA;13;19;14;9941
ENGATIVA;13;7745;15;9942
ENGATIVA;13;PESCADO;3;9943
ENGATIVA;13;PESCADO;3;9944
ENGATIVA;13;PESCADO;3;9945
ENGATIVA ;14;18;13;9946
ENGATIVA ;14;18;13;9947
FONTIBON;15;5;16;9948
FONTIBON;15;5;16;9949
FONTIBON;15;5;16;9950
FONTIBON;15;5;16;9951
FONTIBON;15;5;16;9952
FONTIBON;15;5;16;9953
FONTIBON;15;5;16;9954
FONTIBON;15;5;16;9955
FONTIBON;15;5;16;9956
FONTIBON;15;5;16;9957
FONTIBON;15;5;16;9958
FONTIBON;15;5;16;9959
FONTIBON;15;5;16;9960
FONTIBON;15;PESCADO;3;9961
KENNEDY;16;9;17;9962
KENNEDY;16;9;17;9963
KENNEDY;16;9;17;9964
KENNEDY;16;9;17;9965
KENNEDY;16;9;17;9966
KENNEDY;16;9;17;9967
KENNEDY;16;9;17;9968
KENNEDY;16;9;17;9969
KENNEDY;16;9;17;9970
KENNEDY;16;9;17;9971
KENNEDY;16;9;17;9972
KENNEDY;16;9;17;9973
KENNEDY;16;9;17;9974
KENNEDY;16;9;17;9975
KENNEDY;16;9;17;9976
KENNEDY;16;9;17;9977
KENNEDY;16;9;17;9978
KENNEDY;16;9;17;9979
KENNEDY;16;9;17;9980
KENNEDY;16;9;17;9981
KENNEDY;16;9;17;9982
KENNEDY;16;10;18;9983
KENNEDY;16;10;18;9984
KENNEDY;16;10;18;9985
KENNEDY;16;10;18;9986
KENNEDY;16;10;18;9987
KENNEDY;16;10;18;9988
KENNEDY;16;10;18;9989
KENNEDY;16;10;18;9990
KENNEDY;16;10;18;9991
KENNEDY;16;10;18;9992
KENNEDY;16;10;18;9993
KENNEDY;16;10;18;9994
KENNEDY;16;10;18;9995
KENNEDY;16;10;18;9996
KENNEDY;16;10;18;9997
KENNEDY;16;10;18;9998
KENNEDY;16;10;18;9999
KENNEDY;16;10;18;10000
KENNEDY;16;10;18;10001
KENNEDY;16;11;19;10002
KENNEDY;16;11;19;10003
KENNEDY;16;11;19;10004
KENNEDY;16;11;19;10005
KENNEDY;16;11;19;10006
KENNEDY;16;11;19;10007
KENNEDY;16;11;19;10008
KENNEDY;16;11;19;10009
KENNEDY;16;11;19;10010
KENNEDY;16;11;19;10011
KENNEDY;16;11;19;10012
KENNEDY;16;11;19;10013
KENNEDY;16;11;19;10014
KENNEDY;16;11;19;10015
KENNEDY;16;11;19;10016
KENNEDY;16;11;19;10017
KENNEDY;16;11;19;10018
KENNEDY;16;PESCADO;3;10019
KENNEDY;16;PESCADO;3;10020
LOS MARTIRES;17;15;1;10021
LOS MARTIRES;17;15;1;10022
LOS MARTIRES;17;15;1;10023
LOS MARTIRES;17;15;1;10024
LOS MARTIRES;17;15;1;10025
LOS MARTIRES;17;15;1;10026
LOS MARTIRES;17;15;1;10027
LOS MARTIRES;17;15;1;10028
LOS MARTIRES;17;15;1;10029
LOS MARTIRES;17;15;1;10030
LOS MARTIRES;17;15;1;10031
LOS MARTIRES;17;15;1;10032
LOS MARTIRES;17;15;1;10033
LOS MARTIRES;17;15;1;10034
LOS MARTIRES;17;15;1;10035
LOS MARTIRES;17;15;1;10036
LOS MARTIRES;17;15;1;10037
LOS MARTIRES;17;7745;15;10038
LOS MARTIRES;17;7745;15;10039
LOS MARTIRES;17;7745;15;10040
LOS MARTIRES;17;7745;15;10041
LOS MARTIRES;17;PESCADO;3;10042
LOS MARTIRES;17;PESCADO;3;10043
PUENTE ARANDA;18;20;20;10044
PUENTE ARANDA;18;20;20;10045
PUENTE ARANDA;18;20;20;10046
PUENTE ARANDA;18;20;20;10047
PUENTE ARANDA;18;20;20;10048
PUENTE ARANDA;18;20;20;10049
PUENTE ARANDA;18;20;20;10050
PUENTE ARANDA;18;20;20;10051
PUENTE ARANDA;18;20;20;10052
PUENTE ARANDA;18;20;20;10053
PUENTE ARANDA;18;20;20;10054
PUENTE ARANDA;18;20;20;10055
PUENTE ARANDA;18;20;20;10056
PUENTE ARANDA;18;20;20;10057
PUENTE ARANDA;18;20;20;10058
PUENTE ARANDA;18;20;20;10059
PUENTE ARANDA;18;20;20;10060
PUENTE ARANDA;18;20;20;10061
PUENTE ARANDA;18;20;20;10062
PUENTE ARANDA;18;7745;15;10063
PUENTE ARANDA;18;PESCADO;3;10064
RAFAEL URIBE;19;21;21;10065
RAFAEL URIBE;19;21;21;10066
RAFAEL URIBE;19;21;21;10067
RAFAEL URIBE;19;21;21;10068
RAFAEL URIBE;19;21;21;10069
RAFAEL URIBE;19;21;21;10070
RAFAEL URIBE;19;21;21;10071
RAFAEL URIBE;19;21;21;10072
RAFAEL URIBE;19;21;21;10073
RAFAEL URIBE;19;21;21;10074
RAFAEL URIBE;19;21;21;10075
RAFAEL URIBE;19;21;21;10076
RAFAEL URIBE;19;21;21;10077
RAFAEL URIBE;19;21;21;10078
RAFAEL URIBE;19;22;2;10079
RAFAEL URIBE;19;22;2;10080
RAFAEL URIBE;19;22;2;10081
RAFAEL URIBE;19;22;2;10082
RAFAEL URIBE;19;22;2;10083
RAFAEL URIBE;19;22;2;10084
RAFAEL URIBE;19;22;2;10085
RAFAEL URIBE;19;22;2;10086
RAFAEL URIBE;19;22;2;10087
RAFAEL URIBE;19;22;2;10088
RAFAEL URIBE;19;22;2;10089
RAFAEL URIBE;19;22;2;10090
RAFAEL URIBE;19;22;2;10091
RAFAEL URIBE;19;22;2;10092
RAFAEL URIBE;19;22;2;10093
RAFAEL URIBE;19;22;2;10094
RAFAEL URIBE;19;PESCADO;3;10095
SAN CRISTOBAL;20;23;22;10096
SAN CRISTOBAL;20;23;22;10097
SAN CRISTOBAL;20;23;22;10098
SAN CRISTOBAL;20;23;22;10099
SAN CRISTOBAL;20;23;22;10100
SAN CRISTOBAL;20;23;22;10101
SAN CRISTOBAL;20;23;22;10102
SAN CRISTOBAL;20;23;22;10103
SAN CRISTOBAL;20;23;22;10104
SAN CRISTOBAL;20;23;22;10105
SAN CRISTOBAL;20;23;22;10106
SAN CRISTOBAL;20;23;22;10107
SAN CRISTOBAL;20;23;22;10108
SAN CRISTOBAL;20;23;22;10109
SAN CRISTOBAL;20;23;22;10110
SAN CRISTOBAL;20;23;22;10111
SAN CRISTOBAL;20;23;22;10112
SAN CRISTOBAL;20;23;22;10113
SAN CRISTOBAL;20;23;22;10114
SAN CRISTOBAL;20;23;22;10115
SAN CRISTOBAL;20;23;22;10116
SAN CRISTOBAL;20;23;22;10117
SAN CRISTOBAL;20;24;23;10118
SAN CRISTOBAL;20;24;23;10119
SAN CRISTOBAL;20;24;23;10120
SAN CRISTOBAL;20;24;23;10121
SAN CRISTOBAL;20;24;23;10122
SAN CRISTOBAL;20;24;23;10123
SAN CRISTOBAL;20;24;23;10124
SAN CRISTOBAL;20;24;23;10125
SAN CRISTOBAL;20;24;23;10126
SAN CRISTOBAL;20;24;23;10127
SAN CRISTOBAL;20;24;23;10128
SAN CRISTOBAL;20;24;23;10129
SAN CRISTOBAL;20;24;23;10130
SAN CRISTOBAL;20;2988;8;10131
SAN CRISTOBAL;20;7745;15;10132
SAN CRISTOBAL;20;PESCADO;3;10133
SANTAFE;21;17;9;10134
SANTAFE;21;17;9;10135
SANTAFE;21;17;9;10136
SANTAFE;21;17;9;10137
SANTAFE;21;17;9;10138
SANTAFE;21;17;9;10139
SANTAFE;21;17;9;10140
SANTAFE;21;17;9;10141
SANTAFE;21;17;9;10142
SANTAFE;21;17;9;10143
SANTAFE;21;17;9;10144
SANTAFE;21;17;9;10145
SANTAFE;21;PESCADO;3;10146
SUBA;22;12;24;10147
SUBA;22;12;24;10148
SUBA;22;12;24;10149
SUBA;22;12;24;10150
SUBA;22;12;24;10151
SUBA;22;12;24;10152
SUBA;22;12;24;10153
SUBA;22;12;24;10154
SUBA;22;12;24;10155
SUBA;22;12;24;10156
SUBA;22;12;24;10157
SUBA;22;12;24;10158
SUBA;22;12;24;10159
SUBA;22;12;24;10160
SUBA;22;12;24;10161
SUBA;22;12;24;10162
SUBA;22;12;24;10163
SUBA;22;13;25;10164
SUBA;22;13;25;10165
SUBA;22;13;25;10166
SUBA;22;13;25;10167
SUBA;22;13;25;10168
SUBA;22;13;25;10169
SUBA;22;13;25;10170
SUBA;22;13;25;10171
SUBA;22;13;25;10172
SUBA;22;13;25;10173
SUBA;22;13;25;10174
SUBA;22;13;25;10175
SUBA;22;13;25;10176
SUBA;22;13;25;10177
SUBA;22;PESCADO;3;10178
SUMAPAZ;23;27;26;10179
SUMAPAZ;23;27;26;10180
SUMAPAZ;23;27;26;10181
SUMAPAZ;23;PESCADO;3;10182
TEUSAQUILLO;24;16;4;10183
TEUSAQUILLO;24;16;4;10184
TEUSAQUILLO;24;16;4;10185
TEUSAQUILLO;24;PESCADO;3;10186
TUNJUELITO;25;1;27;10187
TUNJUELITO;25;1;27;10188
TUNJUELITO;25;1;27;10189
TUNJUELITO;25;1;27;10190
TUNJUELITO;25;1;27;10191
TUNJUELITO;25;1;27;10192
TUNJUELITO;25;1;27;10193
TUNJUELITO;25;1;27;10194
TUNJUELITO;25;1;27;10195
TUNJUELITO;25;1;27;10196
TUNJUELITO;25;1;27;10197
TUNJUELITO;25;1;27;10198
TUNJUELITO;25;1;27;10199
TUNJUELITO;25;1;27;10200
TUNJUELITO;25;PESCADO;3;10201
USAQUEN;26;14;28;10202
USAQUEN;26;14;28;10203
USAQUEN;26;14;28;10204
USAQUEN;26;14;28;10205
USAQUEN;26;14;28;10206
USAQUEN;26;14;28;10207
USAQUEN;26;14;28;10208
USAQUEN;26;14;28;10209
USAQUEN;26;14;28;10210
USAQUEN;26;14;28;10211
USAQUEN;26;14;28;10212
USAQUEN;26;14;28;10213
USAQUEN;26;14;28;10214
USAQUEN;26;14;28;10215
USAQUEN;26;14;28;10216
USAQUEN;26;14;28;10217
USAQUEN;26;14;28;10218
USAQUEN;26;PESCADO;3;10219
USME;27;24;23;10220
USME;27;25;29;10221
USME;27;25;29;10222
USME;27;25;29;10223
USME;27;25;29;10224
USME;27;25;29;10225
USME;27;25;29;10226
USME;27;25;29;10227
USME;27;25;29;10228
USME;27;25;29;10229
USME;27;25;29;10230
USME;27;25;29;10231
USME;27;25;29;10232
USME;27;25;29;10233
USME;27;25;29;10234
USME;27;26;30;10235
USME;27;26;30;10236
USME;27;26;30;10237
USME;27;26;30;10238
USME;27;26;30;10239
USME;27;26;30;10240
USME;27;26;30;10241
USME;27;26;30;10242
USME;27;26;30;10243
USME;27;26;30;10244
USME;27;26;30;10245
USME;27;26;30;10246
USME;27;26;30;10247
USME;27;26;30;10248
USME;27;26;30;10249
USME;27;26;30;10250
USME;27;26;30;10251
USME;27;2988;8;10252
USME;27;PESCADO;3;10253
USME;27;PESCADO;3;10254
USME;27;PESCADO;3;10255
