ID;CECO;OI;SUCURSAL;DEPARTAMENTO;MUNICIPIO;LOCALIDAD;DIRECCION_SUCURSAL;TELEFONO_SUCURSAL;CORREO_SUCURSAL;NOMBRE_CONTACTO;TELEFONO_CONTACTO;CORREO_CONTACTO;Aseo;Cafeteria;Higienicos;EPP;Dotación;Maquinaria
9797;;;230-JINF-SDIS-RESTREPO-;11;11001;1379;KR 24 B 15 32 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9798;;;121797-JINF-SDIS-BAUL DE COLORES;11;11001;1380;CL 13A SUR 10-49;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9799;;;122039-JINF-SDIS-MUNDO NUEVO;11;11001;1381;CL 2 SUR 12 90 COMPLEJO SAN JUAN DE DIOS;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9800;;;122740 JINF SDIS NOC Restrepo;11;11001;1382;KR 24 B 15 32 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9801;;;122741 JINF SDIS NOC Mundo Nuevo;11;11001;1383;CL 2 SUR 12 90 COMPLEJO SAN JUAN DE DIOS;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9802;;;229-JINF-SDIS-SANTANDER-;11;11001;1384;KR 29 B 26 10 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9803;;;122739 JINF SDIS NOC Santander;11;11001;1385;KR 29 B 26 10 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9804;;;Casa de la Sabiduría  La Fraternidad;11;11001;1386;CL 14 SUR #24i -19;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9805;;;210-JINF-SDIS-EL ROSARIO-;11;11001;1387;CL 63 B BIS 35 A 49;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9806;;;212-JINF-SDIS-RIONEGRO-;11;11001;1388;CL 99 60 46;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9807;;;213-JINF-SDIS-SANTA SOFIA-;11;11001;1389;KR 28 B 75 11;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9808;;;113267-JINF-SDIS-MARIA GORETTY-;11;11001;1390;CL 67 D 58 14;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9809;;;121633-JINF-SDIS-LA CIUDAD QUE SOÑAMOS-;11;11001;1391;KR 55 70 45;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9810;;;122313- JINF SDIS - NOGAL DE LA ESPERANZA;11;11001;1392;CL 72 52 18;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9811;;;122405JINF-SDIS-RESO-EL ROSARIO ;11;11001;1393;CL 63 B BIS 35 A 49;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9812;;;122704 JINF SDIS NOC Santa Sofia;11;11001;1394;KR 28 B 75 11;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9813;;;122706 JINF SDIS NOC La Ciudad Que Soñamos;11;11001;1395;KR 55 70 45;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9814;;;121618-JINF-SDIS-SONRISAS DE LA NIÑEZ-;11;11001;1396;KR 87 G 57 C 31 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9815;;;121872-JINF-SDIS-TORITO FELIZ;11;11001;1397;KR 91 B 51 47 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9816;;;122030-JINF-SDIS-LA LIBERTAD;11;11001;1398;KR 87 M 59 01 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9817;;;122033-JINF-SDIS-LA CABAÑA;11;11001;1399;KR 90 B 56 G 20 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9818;;;122034-JINF-SDIS-LA PIRAGUA;11;11001;1400;CL 57 A SUR 92 A 30;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9819;;;122038-JINF-SDIS-TIBANICA;11;11001;1401;KR 89 A 56 18 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9820;;;122096-JINF-SDIS-LOS BULLICIOSOS;11;11001;1402;KR 87 I 65 19 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9821;;;122099-JINF-SDIS-PEQUEÑOS GIGANTES;11;11001;1403;KR 89 52 B 61 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9822;;;122100-JINF-SDIS-VILLA CLEMENCIA;11;11001;1404;KR 86 A 57 C 47 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9823;;;122206-JINF-SDIS-JAVIER DE NICOLO;11;11001;1405;KR 85 B 61 A 54 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9824;;;122411-JINF-SDIS-RESO-JAVIER DE NICOLO ;11;11001;1406;KR 85 B 61 A 54 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9825;;;122412-JINF-SDIS-RESO-VILLA CLEMENCIA ;11;11001;1407;KR 86 A 57 C 47 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9826;;;122619-JINF-SDIS-RESO-PEQUEÑOS GIGANTES-;11;11001;1408;KR 89 52 B 61 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9827;;;122677 JINF SDIS NOC Pequeños Gigantes;11;11001;1409;KR 89 52 B 61 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9828;;;196-JINF-SDIS-LAURELES-;11;11001;1410;CL 73 SUR 81 B 10;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9829;;;113373- CAMA CENTRO AMAR BOSA;11;11001;1411;Cll 73 Sur # 92-21 ;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9830;;;120042-JINF-SDIS-ASOVIVIR-;11;11001;1412;KR 80 I 71 C 10 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9831;;;121193-JINF-SDIS-UBA RHUA ESPIR SEMILLA-;11;11001;1413;KR 81 A 84 C 25 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9832;;;121451-JINF-SDIS-LOS CEDROS-;11;11001;1414;KR 81 A 84 C 25 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9833;;;121632-JINF-SDIS-ARCOIRIS DE SUEÑOS-;11;11001;1415;CL 74 BIS SUR 87 C 76;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9834;;;122090-JINF-SDIS-HUMBERTO VALENCIA;11;11001;1416;KR 82 71 A 35 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9835;;;122091-JINF-SDIS-ISRAELITA;11;11001;1417;KR 78 C 73 B 15 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9836;;;122094-JINF-SDIS-LA ESCUELITA;11;11001;1418;KR 81 G 73 44 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9837;;;122340-JINF-SDIS-AVENTURAS MAGICAS;11;11001;1419;CL 73 SUR 92 21;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9838;;;122348-JINF-SDIS- ABSUN (SEMILLA DE VIDA)-;11;11001;1420;CL 81 SUR 81 - 75;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
9839;;;122368-JINF-SDIS-VIENTOS DE AMOR-;11;11001;1421;KR 87 83 07 SUR;3121234567;email@faltante.com;SIN INFORMACIÓN;312123457;email@faltante.com;;;;;;
